TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
-1,212.25,349,191
-1,215.0,349,191
-1,217.562,349,191
-1,220.5,356,191
-1,223.062,361,191
-1,225.625,368,191
-1,228.187,375,191
-1,230.812,384,191
-1,233.375,358,191
-1,235.937,337,191
-1,238.75,317,191
-1,241.5,299,191
-1,248.25,77,112
-1,250.812,71,183
-1,253.375,68,191
-1,255.937,68,191
-1,258.687,66,191
-1,261.437,63,191
-1,264.187,63,183
-1,266.687,59,183
-1,269.25,58,183
-1,271.75,66,191
-1,274.312,62,183
-1,276.875,61,191
-1,280.125,159,183
-1,282.312,196,199
-1,284.5,196,199
-1,286.812,194,199
-1,289.062,193,199
-1,291.25,196,199
-1,293.5,195,199
-1,295.687,196,199
-1,297.875,195,199
-1,300.125,195,199
-1,302.312,198,199
-1,304.562,199,199
-1,306.75,204,199
-1,308.937,205,199
-1,311.125,208,199
-1,313.375,210,199
-1,315.875,216,199
-1,318.437,197,199
-1,321.0,186,191
-1,323.562,165,199
-1,325.937,156,191
-1,328.5,158,191
-1,331.25,160,191
-1,339.875,166,84
-1,342.937,152,167
-1,346.062,148,167
-1,349.187,146,167
-1,352.312,137,183
-1,355.375,142,183
-1,358.5,131,175
1504844544955,1.812,126,167
-1,4.375,127,191
-1,6.75,113,199
-1,10.375,113,199
-1,13.5,40,183
-1,16.625,40,167
-1,19.687,38,175
-1,22.812,48,175
-1,26.312,42,167
-1,28.875,40,183
-1,31.625,39,191
-1,35.25,39,167
-1,38.0,27,183
-1,43.312,13,175
-1,52.312,18,84
-1,54.937,14,183
-1,57.687,17,183
-1,60.062,20,199
-1,62.312,17,199
-1,64.875,18,199
-1,68.375,25,159
-1,71.437,23,183
-1,79.875,18,84
-1,84.437,19,167
-1,97.0,22,40
-1,103.125,53,126
-1,105.687,55,183
-1,108.375,57,175
-1,110.937,55,191
-1,114.625,58,183
-1,117.687,65,175
-1,125.75,49,98
-1,131.625,62,175
-1,134.187,65,191
-1,136.75,66,183
-1,139.5,67,191
-1,142.187,67,191
-1,144.937,72,191
-1,147.312,72,191
-1,149.875,74,191
-1,152.437,85,191
-1,165.312,1,60
-1,178.062,138,45
-1,180.562,143,199
-1,183.125,138,199
-1,186.187,225,175
-1,189.125,163,183
-1,192.562,203,175
-1,202.375,271,72
-1,204.937,341,191
-1,207.687,344,183
-1,210.437,348,191
-1,213.125,348,191
-1,215.875,344,191
-1,218.625,350,183
-1,221.375,358,191
-1,224.187,362,191
-1,226.937,373,191
-1,229.687,384,183
-1,232.25,369,191
-1,235.062,343,191
-1,237.812,322,191
-1,240.187,307,191
-1,248.25,87,98
-1,251.0,73,183
-1,253.562,69,183
-1,256.312,67,191
-1,259.062,63,191
-1,261.812,56,191
-1,264.687,61,183
-1,267.25,59,183
-1,269.812,59,183
-1,272.5,61,191
-1,275.25,60,191
-1,277.937,62,191
-1,280.687,191,183
-1,283.187,197,199
-1,285.562,192,199
-1,287.75,191,199
-1,290.0,191,199
-1,292.187,195,199
-1,294.375,193,199
-1,296.625,197,199
-1,298.812,193,199
-1,301.062,196,199
-1,303.625,198,199
-1,306.187,200,199
-1,308.437,204,199
-1,311.0,206,199
-1,313.375,209,199
-1,315.875,213,199
-1,318.437,196,199
-1,321.0,184,191
-1,323.75,164,191
-1,326.312,154,199
-1,328.875,159,191
-1,332.0,164,191
-1,340.375,166,98
-1,343.687,151,167
-1,346.812,144,183
-1,349.937,142,167
-1,353.0,134,183
-1,356.125,136,175
-1,358.687,131,175
1504844544955,1.625,130,191
-1,4.187,123,183
-1,6.562,109,199
-1,10.375,98,199
-1,13.312,47,175
-1,16.062,49,183
